caseid,presvote,partyid,BushFT,ClintonFT,PerotFT
3978,2,2,15,60,70
3980,2,1,60,70,0
3982,2,4,0,60,85
3984,2,2,30,60,30
3986,2,3,0,70,60
3987,3,4,60,70,100
3988,2,3,0,70,50
3989,2,2,50,60,50
3990,3,2,0,85,70
3991,3,6,70,50,60
3992,3,7,70,50,85
3995,3,6,60,15,85
3996,2,1,0,70,30
3997,1,5,85,30,60
4001,2,3,50,85,50
4002,3,2,30,40,50
4003,3,3,0,50,85
4004,1,2,50,30,15
5001,1,5,70,40,60
5002,2,1,25,80,0
5003,1,7,70,30,40
5004,2,1,40,85,100
5006,2,3,60,70,50
5009,1,6,50,50,0
5012,3,6,70,70,70
5014,2,1,70,85,70
5016,2,1,50,70,15
5022,2,1,0,100,0
5023,3,1,30,60,100
5024,2,1,0,100,15
5025,2,3,40,60,70
5026,1,3,30,40,50
5028,1,5,70,40,50
5029,2,1,30,85,0
5034,3,2,85,60,70
5036,2,1,30,70,15
5038,3,2,15,70,50
5039,1,7,85,40,30
5041,2,3,50,85,0
5043,3,7,85,60,40
5046,3,2,70,60,85
5047,1,3,60,40,30
5048,1,7,70,30,30
5049,1,7,100,50,50
5051,2,5,40,85,60
5053,2,1,30,95,75
5054,1,6,100,15,15
5055,3,6,70,15,60
5056,1,7,100,0,15
5058,1,6,70,50,0
5060,2,3,0,70,60
5061,2,3,60,70,50
5062,2,2,60,30,40
5064,1,6,60,60,85
5066,2,3,50,60,50
5070,2,2,15,70,0
5071,3,2,50,60,70
5072,2,4,40,85,40
5073,2,6,70,85,85
5074,2,2,40,60,60
5076,3,2,0,60,85
5077,3,5,70,30,60
5078,2,4,15,85,40
5080,3,6,60,70,100
5082,2,2,25,60,50
5083,1,7,85,0,0
5085,1,7,85,30,50
5086,2,2,30,85,70
5087,2,1,15,100,0
5088,2,3,50,75,10
5090,1,5,70,50,40
5091,1,7,70,60,30
5095,2,1,0,85,30
5096,2,3,0,85,0
5097,1,5,60,40,20
5098,1,6,70,50,50
5100,1,6,70,40,40
5101,2,1,85,100,50
5103,3,6,60,15,85
5105,2,1,50,85,50
5106,1,6,70,50,50
5107,1,7,70,30,30
5108,3,6,60,65,70
5109,1,7,85,60,70
5110,2,3,30,85,70
5111,2,1,0,85,15
5113,2,2,15,85,0
5114,1,3,70,40,0
5115,2,2,50,60,0
5116,2,4,60,60,50
5118,3,3,70,100,50
5119,3,4,70,40,50
5121,2,1,60,60,30
5122,2,3,40,60,85
5124,2,2,40,70,15
5126,3,3,15,60,0
5127,1,7,60,15,70
5128,3,2,15,60,100
5129,3,2,60,0,40
5130,3,3,40,40,70
5131,1,6,100,40,40
5132,1,7,85,0,15
5133,1,5,70,50,60
5134,2,6,85,90,50
5135,3,6,60,40,50
5136,3,6,70,60,40
5137,2,4,40,70,50
5139,2,2,0,60,0
5141,2,3,50,70,50
5142,2,1,50,70,50
5143,2,2,60,85,70
5144,2,1,0,100,40
5145,2,1,50,85,50
5146,2,1,30,85,100
5148,2,2,15,60,15
