us,id,amrev,amaff,sumam,fedpet,constit,sgam
357/0513,709,0,0,0,0,1,0
357/0545,711,0,0,0,0,1,0
357/0545,710,0,0,0,0,1,0
357/0549,713,0,0,0,0,0,0
357/0549,712,0,0,0,0,0,0
357/0560,715,0,0,0,1,0,0
357/0560,714,0,4,4,1,0,0
357/0566,716,0,0,0,0,0,0
357/0568,717,0,0,0,0,0,0
357/0573,718,0,0,0,0,1,0
357/0576,719,0,0,0,0,0,0
357/0913,721,0,0,0,0,0,0
357/0913,720,0,0,0,0,0,0
358/0001,722,0,1,1,0,1,1
358/0001,723,0,0,0,0,1,0
358/0031,724,0,0,0,0,0,0
358/0049,725,0,0,0,0,0,0
358/0051,726,0,0,0,0,0,0
358/0055,727,0,0,0,0,0,0
358/0057,728,0,0,0,0,0,0
358/0059,729,0,0,0,0,0,0
358/0064,730,0,0,0,0,0,0
358/0065,731,0,0,0,0,0,0
