country,year,ue,inf,cbi,cwagebrg,GDP_PC,open,uden,lcab,wagexcbi,HasLCAB
7,1972,6.2,5.5,.614141,0,9.31695,.375384,.2962,0,0,1
7,1973,5.5,9.1,.614141,0,9.380421,.401609,.3105,0,0,1
7,1974,5.3,15.3,.614141,0,9.411238000000001,.442016,.312,0,0,1
7,1975,6.9,11.4,.614141,0,9.416297,.416159,.3172,0,0,1
7,1976,7.1,8.699999999999999,.614141,0,9.467228,.402592,.3282,0,0,1
7,1977,8,7.7,.614141,0,9.486758999999999,.418097,.3305,0,0,1
7,1978,8.300000000000001,6.7,.614141,0,9.520102,.447699,.3326,0,0,1
7,1979,7.4,10.6,.614141,0,9.554921999999999,.487515,.3278,0,0,1
7,1980,7.5,11.1,.614141,0,9.556267999999999,.491652,.323,0,0,1
7,1981,7.5,10.4,.614141,0,9.58569,.480601,.3222,0,0,1
7,1982,10.9,10,.614141,0,9.528067,.426282,.3331,0,0,1
7,1983,11.8,4.8,.614141,0,9.554285,.430001,.3239,0,0,1
7,1984,11.2,3.4,.614141,0,9.612734,.489524,.3269,0,0,1
7,1985,10.4,3.2,.614141,0,9.654320999999999,.490343,.3226,0,0,1
7,1986,9.5,2.5,.614141,0,9.682155,.483086,.3216,0,0,1
7,1987,8.800000000000001,4.3,.614141,0,9.717278,.458316,.3193,0,0,1
7,1988,7.7,4.2,.614141,0,9.756031,.466802,.3179,0,0,1
7,1989,7.5,4.7,.614141,0,9.771326999999999,.439668,.32,0,0,1
7,1990,8.1,3.4,.614141,0,9.751094,.437259,.320058,0,0,1
8,1955,2.9,3.1,.669444,1,8.265136,.384674,.5839,.444444,.66944402,1
8,1956,2.8,4.1,.669444,1,8.300528999999999,.397609,.5788,.449495,.66944402,1
8,1957,2.6,4.3,.669444,1,8.356555,.415322,.5715,.454545,.66944402,1
8,1958,2.8,.5,.669444,1,8.393668999999999,.376827,.5707,.454545,.66944402,1
8,1959,2.5,3.6,.669444,1,8.426174,.3754,.5705,.508207,.66944402,1
8,1960,1.9,3.1,.6379860000000001,1,8.545392,.403809,.5738,.583333,.637986,1
8,1961,1.5,4.9,.6379860000000001,1,8.59193,.386427,.5644,.583333,.637986,1
8,1962,1.5,3.7,.6379860000000001,1,8.609043,.38065,.5645,.583333,.637986,1
8,1963,1.7,3.5,.6379860000000001,1,8.646114000000001,.376421,.5606,.554924,.637986,1
8,1964,1.6,3.2,.6379860000000001,1,8.695841,.379339,.5683,.545455,.637986,1
8,1965,1.6,5.6,.6379860000000001,1,8.723231,.39032,.5643,.545455,.637986,1
8,1966,1.5,3.2,.6379860000000001,1,8.769818000000001,.388425,.5628,.181818,.637986,1
8,1967,1.6,3.2,.6379860000000001,1,8.794219,.374912,.5553,0,.637986,1
8,1968,1.6,2.8,.6379860000000001,1,8.831566,.380062,.6014,0,.637986,1
8,1969,1.6,2.7,.6379860000000001,1,8.876545,.406516,.6073,0,.637986,1
8,1970,1.1,4.7,.6379860000000001,1,8.923990999999999,.443038,.6098,.666667,.637986,1
8,1971,1,6.2,.6379860000000001,1,8.968396,.437243,.6025,1,.637986,1
8,1972,1,7.6,.6379860000000001,1,9.022323,.438538,.595,1,.637986,1
8,1973,.9,8,.6379860000000001,1,9.067508999999999,.441297,.594,1,.637986,1
8,1974,1.1,9.5,.6379860000000001,1,9.102086999999999,.487599,.5643,1,.637986,1
