dirdyadID,year,ln_ref_flow,pop_diff,distance,regimedif,wardiff,pop_between,pop_within,regime_between,regime_within,war_between,war_within
483581,1992,-0.693147182,0.005404,2.540999889,-0.400000006,1,0.0061516,-0.0007476,-0.245000005,-0.155000001,1.100000024,-0.100000024
471615,1992,-0.693147182,-0.014129001,2.338000059,0.150000006,-1,-0.0152739,0.001144899,0.010000002,0.140000001,-0.899999976,-0.100000024
520600,1992,-0.693147182,-0.016663002,4.020999908,0.349999994,1,-0.0174916,0.000828598,0.330000013,0.019999981,0.600000024,0.399999976
516553,1992,-0.693147182,-0.003037,0.792999983,0.300000012,1,-0.0038492,0.0008122,-0.265000015,0.565000057,0.800000012,0.199999988
616484,1992,-0.693147182,0.006118,2.858999968,-0.5,0,0.0064318,-0.0003138,-0.140000001,-0.360000014,-0.5,0.5
551510,1992,-0.693147182,-0.019746,0,0.600000024,0,-0.0225199,0.0027739,0.245000005,0.355000019,0,0
510435,1992,-0.693147182,0.025194,4.143000126,0,0,0.028534401,-0.003340401,0.204999998,-0.204999998,0,0
404600,1992,-0.693147182,-0.024542002,1.629999995,0.050000001,0,-0.025957599,0.001415597,0.435000002,-0.38499999,0.200000003,-0.200000003
439481,1992,-0.693147182,0.008443,1.118999958,-0.050000001,0,0.0096679,-0.001224901,0,-0.050000001,0,0
433651,1992,-0.693147182,-0.048034996,3.263000011,0.100000001,0,-0.053541299,0.005506303,0.234999999,-0.13499999,0.300000012,-0.300000012
520461,1992,-0.693147182,0.005140999,3.056999922,0.150000006,1,0.0053486,-0.000207601,0.105000004,0.045000002,0.600000024,0.399999976
541432,1992,-0.693147182,0.004974,3.819000006,-0.649999976,1,0.0070058,-0.0020318,-0.144999996,-0.504999995,0,1
500581,1992,-0.693147182,0.017238999,1.106999993,-0.550000012,0,0.019378101,-0.002139103,-0.319999993,-0.230000019,1.100000024,-1.100000024
571551,1992,-0.693147182,-0.006197,0,0.100000001,0,-0.0069048,0.0007078,0.275000006,-0.175000012,0,0
600461,1992,-0.693147182,0.021804001,1.996999979,-0.200000003,0,0.0228402,-0.001036199,-0.224999994,0.024999991,0,0
590483,1992,-0.693147182,-0.004877,3.650000095,0.699999988,-1,-0.0056553,0.0007783,0.639999986,0.060000002,-1.200000048,0.200000048
490615,1992,-0.693147182,0.014297001,2.950999975,0.349999994,-1,0.017973101,-0.0036761,0.210000008,0.139999986,-0.400000006,-0.600000024
482432,1992,-0.693147182,-0.006751,1.904000044,-0.649999976,0,-0.0074413,0.0006903,-0.129999995,-0.519999981,0,0
541625,1992,-0.693147182,-0.012533,2.874000072,0.050000001,0,-0.0104456,-0.002087399,0.529999971,-0.479999959,-0.899999976,0.899999976
516451,1992,-0.693147182,0.00172,3.049999952,0.200000003,0,0.0017911,-7.10998E-05,0.029999999,0.170000002,-0.100000001,0.100000001
433552,1992,-0.693147182,-0.002706,3.996999979,0.25,1,-0.0027637,5.77003E-05,0.335000008,-0.085000008,0.600000024,0.399999976
616461,1992,-0.693147182,0.004747,2.194999933,-0.100000001,0,0.0048896,-0.0001426,-0.055,-0.045000002,0,0
625484,1992,-0.693147182,0.024951,1.81099999,-0.600000024,1,0.025558101,-0.000607101,-0.330000013,-0.270000011,0.5,0.5
452616,1992,-0.693147182,0.007433001,2.259000063,0.200000003,0,0.0090749,-0.001641899,0.219999999,-0.019999996,0,0
404581,1992,-0.693147182,0.000448,4.354000092,-0.5,0,0.0004782,-3.02E-05,1.11759E-09,-0.5,0.100000001,-0.100000001
551570,1992,-0.693147182,0.005677,0.963,0.649999976,0,0.0063612,-0.000684199,-0.075000003,0.724999964,-0.100000001,0.100000001
571436,1992,-0.693147182,-0.006906,3.089999914,0,-1,-0.0080758,0.0011698,0.294999987,-0.294999987,-0.5,-0.5
616590,1992,-0.693147182,0.007406,5.004000187,-0.75,0,0.0079889,-0.0005829,-0.659999967,-0.090000033,0,0
616541,1992,-0.693147182,-0.0063,4.578999996,0.050000001,-1,-0.008680699,0.002380699,-0.340000004,0.390000015,-0.100000001,-0.899999976
481483,1992,-0.693147182,-0.004971,0.898000002,0,-1,-0.0056668,0.0006958,-0.060000002,0.060000002,-1.200000048,0.200000048
437552,1992,-0.693147182,0.002262,3.00999999,-0.050000001,0,0.0026936,-0.0004316,0.109999999,-0.159999996,-0.400000006,0.400000006
439452,1992,-0.693147182,-0.006490001,0,-0.200000003,0,-0.0074074,0.000917399,-0.25999999,0.059999987,0,0
553432,1992,-0.693147182,-0.000993,3.404000044,-0.800000012,0,-0.0007343,-0.0002587,-0.140000001,-0.660000026,-0.100000001,0.100000001
581540,1992,-0.693147182,-0.010052,2.049999952,0.200000003,-1,-0.0108768,0.0008248,0.210000008,-0.010000005,-2.200000048,1.200000048
450420,1992,-0.693147182,0.001702,0.630999982,-0.400000006,1,0.0016762,2.57998E-05,0.144999996,-0.545000017,0.699999988,0.300000012
452571,1992,-0.693147182,0.014565,2.730999947,-0.449999988,0,0.0166885,-0.002123499,-0.36500001,-0.084999979,0,0
452541,1992,-0.693147182,0.001133,3.096999884,0.25,-1,0.0003942,0.0007388,-0.119999997,0.370000005,-0.100000001,-0.899999976
433490,1992,-0.693147182,-0.032864001,2.601000071,-0.050000001,1,-0.038320199,0.005456198,0.039999999,-0.090000004,0.400000006,0.600000024
501590,1992,-0.693147182,0.024616001,1.912999988,-0.75,0,0.028597999,-0.003981998,-0.675000012,-0.074999988,0,0
484500,1992,-0.693147182,-0.015423998,1.236999989,0.600000024,0,-0.017324701,0.001900703,0.194999993,0.405000031,-0.699999988,0.699999988
461541,1992,-0.693147182,-0.011047,3.059000015,0.150000006,-1,-0.013570299,0.002523299,-0.284999996,0.435000002,-0.100000001,-0.899999976
