State,StateID,Year,MurderPer100K,DeathPenalty,Population,UrbanPct,AvgEducation,SchoolSpendEq,AvgIdeol,CitizenIdeol,EliteIdeol
Iowa,15,1988,1.7,0,2834,58.599998,12.72791,85,20.459999,61.033119,61.880001
Iowa,15,1989,1.9,0,2771,58.599998,12.80524,85,20.459999,49.645592,52.066669
Iowa,15,1990,1.9,0,2777,59.400002,12.88257,85,23.030001,49.97662,52.083328
Iowa,15,1991,2,0,2795,59.400002,12.96037,85,23.030001,50.021721,46.948002
Iowa,15,1992,1.6,0,2808,59.400002,13.03863,85,23.030001,53.04253,51.438332
Iowa,15,1993,2.3,0,2821,59.400002,13.11737,85,23.030001,46.271858,36.799999
Iowa,15,1994,1.7,0,2829,59.400002,13.19659,85,22.35,42.37067,33.138
Kansas,16,1985,4.9000001,1,2448,66.699997,12.75828,75,28.42,30.491859,34.650002
Kansas,16,1986,4.4000001,1,2459,66.699997,12.83782,75,28.42,30.18224,34.474998
Kansas,16,1987,4.4000001,1,2475,66.699997,12.91736,75,28.42,35.771919,12.2896
Kansas,16,1988,3.4000001,1,2495,66.699997,12.9969,75,28.540001,44.158649,23.725599
Kansas,16,1989,5.5,1,2473,66.699997,13.07644,75,28.540001,33.905418,16.2229
Kansas,16,1990,4,1,2478,69.5,13.15599,75,21.309999,37.608219,21.342501
Kansas,16,1991,6.0999999,1,2495,69.5,13.23601,75,21.309999,33.406219,43.863998
Kansas,16,1992,6,1,2518,69.5,13.31652,75,21.280001,44.992069,58.636002
Kansas,16,1993,6.4000001,1,2535,69.5,13.39753,75,21.280001,37.52972,48.373501
Kansas,16,1994,5.8000002,1,2554,69.5,13.47902,75,22.16,31.99003,41.492001
Kentucky,17,1985,6.9000001,1,3724,50.900002,11.48456,88,47.700001,40.282558,62.5
Kentucky,17,1986,6.6999998,1,3722,50.900002,11.59614,88,44.279999,43.955502,68.800003
Kentucky,17,1987,7.5,1,3723,50.900002,11.70772,88,44.279999,45.55233,77
Kentucky,17,1988,6.1999998,1,3727,50.900002,11.81929,88,48.52,48.79615,80.599998
Kentucky,17,1989,7.9000001,1,3677,50.900002,11.93087,88,48.52,38.977741,64
Kentucky,17,1990,7.1999998,1,3685,55.900002,12.04245,88,47.130001,39.090939,68.400002
Kentucky,17,1991,6.8000002,1,3713,55.900002,12.15508,88,47.130001,38.34515,71.400002
Kentucky,17,1992,5.8000002,1,3753,55.900002,12.26875,88,44.720001,49.22155,77.800003
Kentucky,17,1993,6.5999999,1,3794,55.900002,12.38349,88,44.720001,44.370811,72.599998
Kentucky,17,1994,6.4000001,1,3827,55.900002,12.4993,88,45.400002,38.21991,62.5
Louisiana,18,1985,10.9,1,4484,68.599998,11.63935,74,35.459999,31.698,51.5
Louisiana,18,1986,12.8,1,4497,68.599998,11.74104,74,35.459999,34.928669,54.75
Louisiana,18,1987,11.1,1,4448,68.599998,11.84272,74,35.459999,35.380669,59.92857
Louisiana,18,1988,11.6,1,4408,68.599998,11.9444,74,37.080002,42.740311,69.25
Louisiana,18,1989,14.9,1,4253,68.599998,12.04609,74,37.080002,31.28883,48.5
Louisiana,18,1990,17.200001,1,4220,72.900002,12.14777,74,37.080002,29.79122,47
Louisiana,18,1991,16.9,1,4252,72.900002,12.25031,74,37.080002,26.69841,27.78125
Louisiana,18,1992,17.4,1,4273,72.900002,12.35372,74,37.82,37.882931,58.166672
Louisiana,18,1993,20.299999,1,4290,72.900002,12.458,74,37.82,33.116501,64.083344
Louisiana,18,1994,19.799999,1,4315,72.900002,12.56316,74,38,34.559849,59.333328
Maine,19,1985,2.4000001,0,1164,47.5,12.67415,84,53.98,54.62582,74.177261
Maine,19,1986,2,0,1171,47.5,12.80629,84,64.959999,63.299591,84.491829
Maine,19,1987,2.5,0,1186,47.5,12.93843,84,64.959999,70.652473,69.034393
Maine,19,1988,3.0999999,0,1205,47.5,13.07057,84,65.519997,78.231979,75.705467
Maine,19,1989,3.2,0,1220,47.5,13.20271,84,65.519997,64.333908,61.092861
Maine,19,1990,2.4000001,0,1228,42.599998,13.33486,84,58.07,59.14975,57.01786
Maine,19,1991,1.2,0,1235,42.599998,13.46832,84,58.07,72.868027,71.75
Maine,19,1992,1.7,0,1237,42.599998,13.60312,84,57.43,69.503731,68.875
Maine,19,1993,1.6,0,1240,42.599998,13.73927,84,57.43,65.819862,64.132141
Maine,19,1994,2.3,0,1240,42.599998,13.87678,84,57.66,64.173859,63.73571
Maryland,20,1985,7.9000001,1,4391,80.300003,12.59033,90,69.120003,63.335732,77.5
Maryland,20,1986,9,1,4461,80.300003,12.73279,90,68.940002,64.842102,78
Maryland,20,1987,9.6000004,1,4536,80.300003,12.87525,90,70.440002,73.536972,85.75
Maryland,20,1988,9.6999998,1,4622,80.300003,13.01771,90,70.440002,77.68512,86.6875
Maryland,20,1989,11.6,1,4727,80.300003,13.16017,90,76.379997,69.462181,78.6875
Maryland,20,1990,11.5,1,4781,85,13.30263,90,77.769997,62.238689,75.625
Maryland,20,1991,11.7,1,4860,85,13.44664,90,77.769997,64.214211,79.428574
Maryland,20,1992,12.1,1,4914,85,13.5922,90,76.949997,66.264542,81.714287
Maryland,20,1993,12.7,1,4958,85,13.73933,90,76.949997,67.71006,92.916656
Maryland,20,1994,11.6,1,5006,85,13.88806,90,78.040001,62.335781,86.166656
Massachusetts,21,1985,3.5,0,5823,83.300003,12.60199,67,76.580002,90.101936,91.454536
Massachusetts,21,1986,3.5999999,0,5835,83.300003,12.6521,67,76.580002,88.162231,88.545464
Massachusetts,21,1987,3,0,5856,83.300003,12.70221,67,76.580002,89.101913,93.458344
Massachusetts,21,1988,3.5,0,5889,83.300003,12.75233,67,76.580002,93.911911,95.041656
Massachusetts,21,1989,4.3000002,0,6016,83.300003,12.80244,67,76.580002,89.569992,92.875
Massachusetts,21,1990,4,0,6016,90.5,12.85255,67,79.120003,88.297478,90.625
Massachusetts,21,1991,4.1999998,0,5996,90.5,12.90286,67,79.120003,81.329468,78.061371
Massachusetts,21,1992,3.5999999,0,5999,90.5,12.95337,67,79.120003,82.394272,80.383301
Massachusetts,21,1993,3.9000001,0,6018,90.5,13.00407,67,79.120003,72.336143,65.050003
Massachusetts,21,1994,3.5,0,6041,90.5,13.05497,67,79.120003,68.445587,60.575001
Michigan,22,1985,11.2,0,9088,70.699997,12.44021,84,53.18,56.14579,68.551353
Michigan,22,1986,11.3,0,9143,70.699997,12.52702,84,50.240002,63.248859,77.680382
Michigan,22,1987,12.2,0,9205,70.699997,12.61384,84,50.41,64.020882,80.03257
Michigan,22,1988,10.8,0,9240,70.699997,12.70066,84,48.330002,73.277863,84.815826
Michigan,22,1989,10.7,0,9253,70.699997,12.78748,84,48.330002,59.964401,75.493668
Michigan,22,1990,10.4,0,9295,75.199997,12.8743,84,48.330002,62.285801,74.443542
Michigan,22,1991,10.8,0,9368,75.199997,12.9617,84,48.330002,60.901058,40.81361
Michigan,22,1992,9.8999996,0,9423,75.199997,13.0497,84,48.029999,60.996651,43.106281
Michigan,22,1993,9.8000002,0,9460,75.199997,13.1383,84,48.029999,52.387451,22.6451
Michigan,22,1994,9.8000002,0,9496,75.199997,13.2275,84,48.029999,50.616581,24.119249
Minnesota,23,1985,2.0999999,0,4191,66.900002,12.77464,82,37.200001,54.567139,73.800522
Minnesota,23,1986,2.5,0,4213,66.900002,12.86104,82,37.200001,57.622978,76.200523
Minnesota,23,1987,2.5999999,0,4244,66.900002,12.94744,82,37.200001,62.522388,87.800003
Minnesota,23,1988,2.9000001,0,4307,66.900002,13.03384,82,30.82,65.037033,90.099998
Minnesota,23,1989,2.5,0,4338,66.900002,13.12024,82,30.82,53.544579,84.285957
Minnesota,23,1990,2.7,0,4375,69,13.20664,82,35.689999,58.374401,87.596718
Minnesota,23,1991,3,0,4432,69,13.29361,82,35.689999,55.568409,51.449181
Minnesota,23,1992,3.3,0,4474,69,13.38116,82,45.84,60.748371,56.189411
Minnesota,23,1993,3.4000001,0,4524,69,13.46928,82,45.84,59.09016,56.845242
Minnesota,23,1994,3.2,0,4567,69,13.55797,82,46.470001,46.81448,45.214291
Mississippi,24,1985,10.6,1,2613,47.299999,11.50815,87,28.559999,28.269939,45
Mississippi,24,1986,11.2,1,2624,47.299999,11.61323,87,31.040001,29.860041,45.625
Mississippi,24,1987,10.2,1,2624,47.299999,11.7183,87,31.040001,41.2738,60.200001
Mississippi,24,1988,8.6000004,1,2620,47.299999,11.82338,87,37.110001,45.656158,69.800003
Mississippi,24,1989,9.6999998,1,2574,47.299999,11.92846,87,37.110001,39.357121,46.375
Mississippi,24,1990,12.2,1,2573,49.099998,12.03354,87,36.279999,33.040989,44.099998
Mississippi,24,1991,12.8,1,2592,49.099998,12.13954,87,36.279999,28.97686,36.299999
Mississippi,24,1992,12.3,1,2613,49.099998,12.24648,87,35.34,35.79567,30.549999
Mississippi,24,1993,13.5,1,2640,49.099998,12.35435,87,32.990002,31.38043,28.525
Mississippi,24,1994,15.3,1,2669,49.099998,12.46318,87,33.169998,30.17848,28.950001
Missouri,25,1985,8.1000004,1,5036,68.099998,12.20663,72,49.23,48.12841,46.14286
Missouri,25,1986,9.1999998,1,5066,68.099998,12.30267,72,45.509998,50.539089,48.410709
Missouri,25,1987,8.3000002,1,5107,68.099998,12.39872,72,45.509998,52.589951,49.941669
Missouri,25,1988,8,1,5141,68.099998,12.49476,72,45.509998,56.531448,54.299999
Missouri,25,1989,7.9000001,1,5096,68.099998,12.59081,72,45.509998,48.436359,46.35833
Missouri,25,1990,8.8000002,1,5117,69.599998,12.68685,72,38.84,51.10075,49.575001
Missouri,25,1991,10.5,1,5158,69.599998,12.78363,72,38.84,49.387451,48.291672
Missouri,25,1992,10.5,1,5193,69.599998,12.88115,72,32.860001,56.2407,55.450001
Missouri,25,1993,11.3,1,5235,69.599998,12.97941,72,32.860001,50.417931,81.824409
Missouri,25,1994,10.5,1,5278,69.599998,13.07842,72,24.02,40.20359,69.451759
Montana,26,1985,5.8000002,1,825,52.900002,12.75638,80,46.169998,52.402828,73.145844
Montana,26,1986,2.9000001,1,817,52.900002,12.81929,80,51.439999,46.60358,69.186661
Montana,26,1987,4.0999999,1,809,52.900002,12.8822,80,51.439999,51.95388,62.834999
Montana,26,1988,2.5999999,1,805,52.900002,12.94511,80,52.259998,49.455002,62.845001
Montana,26,1989,2.9000001,1,800,52.900002,13.00802,80,52.259998,47.544411,20.182501
Montana,26,1990,4.9000001,1,799,56.400002,13.07093,80,51.540001,38.578701,20.01
Montana,26,1991,2.5999999,1,808,56.400002,13.13415,80,51.540001,40.7272,38.419998
Montana,26,1992,2.9000001,1,823,56.400002,13.19767,80,47.18,52.43169,50.09
Montana,26,1993,3,1,841,56.400002,13.2615,80,47.18,52.890091,39.959999
Montana,26,1994,3.3,1,856,56.400002,13.32563,80,42.450001,46.401711,31.459999
Nevada,28,1985,10.3,1,939,85.300003,12.69508,86,24.030001,36.11092,53.458729
Nevada,28,1986,12.6,1,966,85.300003,12.75122,86,20.790001,37.834061,58.025398
Nevada,28,1987,8.3999996,1,1006,85.300003,12.80736,86,20.790001,50.997471,68.441071
Nevada,28,1988,10.5,1,1054,85.300003,12.8635,86,20.790001,44.837769,60.939289
Nevada,28,1989,8.1999998,1,1137,85.300003,12.91965,86,20.790001,42.578709,57.875
Nevada,28,1990,9.6999998,1,1202,87.400002,12.97579,86,22.16,37.252258,50.125
Nevada,28,1991,11.8,1,1284,87.400002,13.03217,86,22.16,40.80777,63.5508
Nevada,28,1992,10.9,1,1331,87.400002,13.0888,86,22.16,44.16613,64.541283
Nevada,28,1993,10.4,1,1382,87.400002,13.14568,86,22.16,44.75106,62.933731
Nevada,28,1994,11.7,1,1457,87.400002,13.2028,86,27.139999,46.02177,68.971031
New Hampshire,29,1985,2.0999999,1,998,52.200001,12.81556,80,28.790001,33.859772,13.5
New Hampshire,29,1986,2.2,1,1027,52.200001,12.90129,80,24.34,31.873751,8.125
New Hampshire,29,1987,3,1,1056,52.200001,12.98701,80,24.34,39.739422,14.625
New Hampshire,29,1988,2.3,1,1085,52.200001,13.07274,80,14.57,40.498249,13.875
New Hampshire,29,1989,3.3,1,1105,52.200001,13.15847,80,14.57,41.309509,14.375
New Hampshire,29,1990,1.9,1,1109,57.200001,13.24419,80,14.57,38.683929,14.75
New Hampshire,29,1991,3.5999999,1,1105,57.200001,13.33048,80,14.57,37.789291,16.080549
New Hampshire,29,1992,1.6,1,1114,57.200001,13.41732,80,14.77,48.09837,21.69306
New Hampshire,29,1993,2,1,1124,57.200001,13.50474,80,14.77,38.838791,12.63472
New Hampshire,29,1994,1.4,1,1137,57.200001,13.59272,80,14.77,31.144779,9.8250008
New Jersey,30,1985,5.4000001,1,7568,89,12.48269,67,60.650002,67.213142,61.82975
New Jersey,30,1986,5.1999998,1,7625,89,12.57071,67,59.77,71.431427,59.692921
New Jersey,30,1987,4.5999999,1,7674,89,12.65873,67,59.77,69.921959,56.172279
New Jersey,30,1988,5.3000002,1,7721,89,12.74675,67,59.77,72.591164,65.586113
New Jersey,30,1989,5.0999999,1,7726,89,12.83477,67,59.77,62.412899,54.888851
New Jersey,30,1990,5.5999999,1,7730,93.5,12.9228,67,59.77,59.238331,81.389587
New Jersey,30,1991,5.1999998,1,7760,93.5,13.01142,67,59.77,60.451191,77.361458
New Jersey,30,1992,5.0999999,1,7813,93.5,13.10066,67,59.77,64.978317,64.891663
New Jersey,30,1993,5.3000002,1,7859,93.5,13.1905,67,59.77,61.49353,61.777779
New Jersey,30,1994,5,1,7904,93.5,13.28096,67,59.77,49.117142,19.58334
New Mexico,31,1985,10.9,1,1450,72.099998,12.45262,71,35.32,37.271629,66.21875
New Mexico,31,1986,11.5,1,1477,72.099998,12.5517,71,35.32,39.876308,66.329567
New Mexico,31,1987,10.1,1,1496,72.099998,12.65078,71,35.32,46.89851,41.21875
New Mexico,31,1988,11.5,1,1507,72.099998,12.74987,71,51.290001,49.02607,42.96875
New Mexico,31,1989,8.6000004,1,1504,72.099998,12.84895,71,51.290001,42.87447,44.708328
New Mexico,31,1990,9.1999998,1,1515,75,12.94803,71,51.290001,43.988731,45.192059
New Mexico,31,1991,10.5,1,1548,75,13.04787,71,51.290001,39.72353,68.5
New Mexico,31,1992,8.8999996,1,1581,75,13.14849,71,47.5,51.294601,78.75
New Mexico,31,1993,8,1,1616,75,13.24988,71,47.5,41.211819,77.5
